"filename", "language", "Gradle", "Markdown", "Java", "JSON", "Java Properties", "Batch", "comment", "blank", "total"
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Producto.java", "Java", 0, 0, 33, 0, 0, 0, 0, 13, 46
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Proveedor.java", "Java", 0, 0, 29, 0, 0, 0, 0, 9, 38
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Rol.java", "Java", 0, 0, 20, 0, 0, 0, 0, 7, 27
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Suministro.java", "Java", 0, 0, 34, 0, 0, 0, 0, 10, 44
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\entidades\Usuario.java", "Java", 0, 0, 32, 0, 0, 0, 2, 11, 45
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\DetallePedidoRepositorio.java", "Java", 0, 0, 5, 0, 0, 0, 0, 6, 11
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\DomiciliarioRepositorio.java", "Java", 0, 0, 5, 0, 0, 0, 0, 5, 10
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\EnvioRepositorio.java", "Java", 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\FacturaRepositorio.java", "Java", 0, 0, 5, 0, 0, 0, 0, 5, 10
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\InventarioRepositorio.java", "Java", 0, 0, 9, 0, 0, 0, 0, 5, 14
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\PagoRepositorio.java", "Java", 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\PedidoRepositorio.java", "Java", 0, 0, 9, 0, 0, 0, 0, 7, 16
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\PersonaRepositorio.java", "Java", 0, 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\ProductoRepositorio.java", "Java", 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\ProveedorRepositorio.java", "Java", 0, 0, 5, 0, 0, 0, 0, 5, 10
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\RolRepositorio.java", "Java", 0, 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\SuministroRepositorio.java", "Java", 0, 0, 5, 0, 0, 0, 0, 5, 10
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\repositorio\UsuarioRepositorio.java", "Java", 0, 0, 13, 0, 0, 0, 1, 9, 23
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\DetallePedidoServicio.java", "Java", 0, 0, 23, 0, 0, 0, 0, 13, 36
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\DomiciliarioServicio.java", "Java", 0, 0, 23, 0, 0, 0, 0, 10, 33
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\EnvioServicio.java", "Java", 0, 0, 23, 0, 0, 0, 0, 10, 33
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\EstadoGlobalServicio.java", "Java", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\FacturaServicio.java", "Java", 0, 0, 24, 0, 0, 0, 1, 8, 33
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\InventarioServicio.java", "Java", 0, 0, 33, 0, 0, 0, 3, 11, 47
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\PagoServicio.java", "Java", 0, 0, 23, 0, 0, 0, 0, 9, 32
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\PedidoServicio.java", "Java", 0, 0, 69, 0, 0, 0, 11, 25, 105
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\PersonaServicio.java", "Java", 0, 0, 23, 0, 0, 0, 0, 10, 33
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\ProductoServicio.java", "Java", 0, 0, 39, 0, 0, 0, 0, 13, 52
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\ProveedorServicio.java", "Java", 0, 0, 43, 0, 0, 0, 2, 11, 56
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\RolServicio.java", "Java", 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\SuministroServicio.java", "Java", 0, 0, 92, 0, 0, 0, 13, 24, 129
"c:\Users\fquin\Documents\appweb\BACKEND\src\main\java\com\proyectoweb\appweb\servicios\UsuarioServicio.java", "Java", 0, 0, 36, 0, 0, 0, 0, 11, 47
"c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\AppwebApplicationTests.java", "Java", 0, 0, 9, 0, 0, 0, 0, 5, 14
"c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\ProductoServicioIT.java", "Java", 0, 0, 74, 0, 0, 0, 0, 20, 94
"c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\UsuarioServicioIT.java", "Java", 0, 0, 58, 0, 0, 0, 7, 16, 81
"c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\servicios\DomiciliarioServicioTest.java", "Java", 0, 0, 66, 0, 0, 0, 0, 25, 91
"c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\servicios\PedidoServicioTest.java", "Java", 0, 0, 66, 0, 0, 0, 0, 26, 92
"c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\servicios\ProductoServicioTest.java", "Java", 0, 0, 74, 0, 0, 0, 0, 25, 99
"c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\servicios\ProveedorServicioTest.java", "Java", 0, 0, 64, 0, 0, 0, 0, 26, 90
"c:\Users\fquin\Documents\appweb\BACKEND\src\test\java\com\proyectoweb\appweb\servicios\UsuarioServicioTest.java", "Java", 0, 0, 31, 0, 0, 0, 0, 12, 43
"Total", "-", 63, 147, 2016, 1, 7, 41, 104, 757, 3136
